,callsign,icao24,last_position,filter,count
40557,WJA2060,c0817c,2022-01-14 17:41:14.644999936+00:00,False,0
40558,WJA2060,c0817c,2022-01-14 17:41:15.860999936+00:00,False,0
40559,WJA2060,c0817c,2022-01-14 17:41:16.878000128+00:00,False,0
40560,WJA2060,c0817c,2022-01-14 17:41:17.687000064+00:00,False,0
40561,WJA2060,c0817c,2022-01-14 17:41:18.687000064+00:00,False,0
40562,WJA2060,c0817c,2022-01-14 17:41:19.676999936+00:00,False,0
40563,WJA2060,c0817c,2022-01-14 17:41:20.700999936+00:00,False,0
40564,WJA2060,c0817c,2022-01-14 17:41:21.601999872+00:00,False,0
40565,WJA2060,c0817c,2022-01-14 17:41:22.548000+00:00,False,0
40566,WJA2060,c0817c,2022-01-14 17:41:23.724999936+00:00,False,0
40567,WJA2060,c0817c,2022-01-14 17:41:24.860000+00:00,False,0
40568,WJA2060,c0817c,2022-01-14 17:41:25.920999936+00:00,False,0
40569,WJA2060,c0817c,2022-01-14 17:41:26.964000+00:00,False,0
40570,WJA2060,c0817c,2022-01-14 17:41:27.923000064+00:00,False,0
40571,WJA2060,c0817c,2022-01-14 17:41:28.928999936+00:00,False,0
40572,WJA2060,c0817c,2022-01-14 17:41:29.996000+00:00,False,0
40573,WJA2060,c0817c,2022-01-14 17:41:30.488000+00:00,False,0
40574,WJA2060,c0817c,2022-01-14 17:41:31.484999936+00:00,False,0
40575,WJA2060,c0817c,2022-01-14 17:41:32.530999808+00:00,False,0
40576,WJA2060,c0817c,2022-01-14 17:41:33.496000+00:00,False,0
40577,WJA2060,c0817c,2022-01-14 17:41:34.582000128+00:00,False,0
40578,WJA2060,c0817c,2022-01-14 17:41:35.569999872+00:00,False,0
40579,WJA2060,c0817c,2022-01-14 17:41:36.564000+00:00,False,0
40580,WJA2060,c0817c,2022-01-14 17:41:37.535000064+00:00,False,0
40581,WJA2060,c0817c,2022-01-14 17:41:38.647000064+00:00,False,0
40582,WJA2060,c0817c,2022-01-14 17:41:39.607000064+00:00,False,0
40583,WJA2060,c0817c,2022-01-14 17:41:40.546000128+00:00,False,0
40584,WJA2060,c0817c,2022-01-14 17:41:41.732000+00:00,False,0
40585,WJA2060,c0817c,2022-01-14 17:41:42.880999936+00:00,False,0
40586,WJA2060,c0817c,2022-01-14 17:41:43.976999936+00:00,False,0
40587,WJA2060,c0817c,2022-01-14 17:41:44.443000064+00:00,False,0
40588,WJA2060,c0817c,2022-01-14 17:41:45.999000064+00:00,False,0
40589,WJA2060,c0817c,2022-01-14 17:41:46.598000128+00:00,False,0
40590,WJA2060,c0817c,2022-01-14 17:41:47.729000192+00:00,False,0
40591,WJA2060,c0817c,2022-01-14 17:41:48.732000+00:00,False,0
